,valores reais,valores preditos,porcentagem de acerto %
37778,885000.0,976776.94,90.60410478825418
43001,640000.0,918176.9,69.70334555637768
38183,572000.0,602512.4,94.93580940972373
1578,1810000.0,1390415.1,69.8230501484224
8416,1630000.0,1699573.4,95.90642122173747
59417,695500.0,916495.1,75.88692847656992
6111,1043000.0,1556473.9,67.01044050610872
46911,1035500.0,1271044.0,81.46846214607835
40975,777000.0,621161.56,74.91177063938177
61252,695000.0,863457.75,80.49033088185264
56737,940000.0,1031336.06,91.14390877803713
61763,1550000.0,1891024.6,81.96614573435288
38295,2020000.0,2040954.6,98.97329295108655
27095,493000.0,704263.25,70.00223282984027
53309,600000.0,956117.9,62.75376872333863
8817,740000.0,695364.0,93.58091589440927
35447,610000.0,596970.1,97.81733214874026
37456,835000.0,834228.7,99.90754183935924
61019,957000.0,817157.06,82.88665130395296
6325,580000.0,601427.75,96.43718634532577
62059,1500000.0,1261829.8,81.12500913851493
19622,520000.0,554099.75,93.84591853723089
35719,738000.0,932781.6,79.1181966089866
60628,600000.0,557330.9,92.34402274950226
56082,825000.0,895932.56,92.08282347701811
30771,650000.0,844419.2,76.97598652683386
40558,750000.0,765576.56,97.96538148331834
5357,1003500.0,1529116.0,65.62615262674643
26642,495000.0,479134.6,96.68873705698692
7463,610000.0,752531.9,81.0596893320964
48077,581000.0,738875.0,78.63305701234987
9390,950000.0,1112516.1,85.39202072239627
30839,480000.0,386059.72,75.66690418928872
32243,550864.0,433198.28,72.83790729490573
59224,970000.0,1150395.8,84.318809418411
49008,800000.0,1075335.0,74.3954209618398
31483,1325000.0,1493800.5,88.69993014462105
51829,965000.0,959044.94,99.3790632464498
18590,490000.0,556879.25,87.99034979306555
49446,640000.0,1406258.9,45.5108238872448
59033,650000.0,627691.9,96.4460070476458
17639,740000.0,928263.75,79.71872218429299
23092,1100000.0,1064232.8,96.63915153898431
42669,1945000.0,1908989.2,98.11362216942814
59325,1100000.0,1361028.5,80.82123188456377
38774,2188000.0,2561049.5,85.43372550979589
9541,1190000.0,1023978.9,83.78666503251837
16897,473000.0,559284.06,84.57240814009428
16470,585000.0,647279.3,90.37829399190014
42366,785000.0,1343987.2,58.408292191760005
58355,504000.0,614508.44,82.01677458659793
15904,636000.0,776510.25,81.90490724365841
15247,1475000.0,1422854.1,96.33512149391983
33695,680000.0,677327.8,99.6054809132764
34583,901000.0,868443.3,96.25114419889094
52609,2250000.0,1999309.5,87.46114596064291
58831,570000.0,527450.06,91.93289743898741
33583,1010000.0,939863.7,92.53760801350248
27860,900000.0,1192175.0,75.49227252710382
61848,860000.0,601113.56,56.93219157736107
60697,1150000.0,1230142.4,93.48511386740904
8113,596000.0,651656.44,91.45923614082305
49525,780000.0,823783.25,94.68510072279328
48270,900000.0,1462917.4,61.52090441881586
2804,572000.0,859381.4,66.55950624948092
14724,822000.0,846575.75,97.09704063694241
8306,1330000.0,1186173.8,87.87477382634712
20828,790000.0,855887.0,92.30190434017574
6874,700000.0,917220.2,76.31755270323245
9500,1531000.0,1521369.8,99.36700134862022
50096,720000.0,900723.3,79.9357571862558
16557,355500.0,283724.12,74.702230555826
13859,950000.0,926370.94,97.44928715447747
3673,572000.0,778853.1,73.44131796351205
37430,1064000.0,1262221.0,84.29585627239604
22445,1360000.0,1558231.8,87.27841670534566
19740,665000.0,756889.44,87.85959574181533
14612,810000.0,913717.6,88.64883174383334
9347,691000.0,930121.3,74.29138443701665
59694,460000.0,482259.3,95.38436854964829
36284,1100000.0,1346170.8,81.71325962921124
26599,655000.0,1572403.8,41.65596781361021
42502,550000.0,715212.9,76.9001816417245
8527,970000.0,991620.8,97.81964918167749
10840,500000.0,458891.34,91.04174510809781
16638,580000.0,583471.75,99.40498404592853
6763,1255000.0,1757975.4,71.38894081494173
32943,770000.0,713230.1,92.04045468494478
46822,805000.0,712374.44,86.99762967000062
21259,1190000.0,817594.6,54.45109793866368
55527,1250000.0,1524842.6,81.97567273540768
4815,380000.0,539212.06,70.47320088467049
46416,1150000.0,1710898.1,67.216158764567
34281,580000.0,635446.7,91.27437618439076
21112,1215000.0,1037314.06,82.87057469636878
2082,1202500.0,1456927.8,82.53669408108946
21740,1671000.0,1390575.1,79.8338924694917
48569,570000.0,726130.8,78.49825268226033
40157,425000.0,463994.94,91.59582694800415
50704,1180000.0,1360193.4,86.75237077963271
50682,740000.0,893432.44,82.82663231599983
3803,647000.0,601583.44,92.45049652817279
13944,410000.0,464625.9,88.24303476943716
24212,550000.0,595987.25,92.28385338780318
32178,1085000.0,1184918.5,91.5674791135424
21753,920000.0,668498.1,62.378073236929424
21517,1560000.0,1537142.0,98.51295456112707
29322,530000.0,591721.5,89.56916387185525
7652,530000.0,619073.5,85.61180538336724
55929,1055000.0,946335.4,88.51732399837637
53350,567000.0,465848.72,78.28666749982341
34093,1050000.0,1145898.4,91.63116231838622
3631,850000.0,901335.3,94.30452665195007
44390,1500000.0,2130526.8,70.40512399105057
14381,1650000.0,1665326.1,99.07969227348788
57675,730000.0,708991.56,97.03685648586261
55693,1162000.0,2334056.8,49.784565006827705
4902,570000.0,632382.4,90.13533939809754
8767,1100000.0,1318596.2,83.42204825775896
28875,410000.0,729369.44,56.21293941316262
44181,845500.0,724967.6,83.37410239526213
29559,890000.0,1053289.1,84.49721722893511
43370,1460000.0,1232845.4,81.57476763864244
62656,665000.0,614718.4,91.82038034896875
41010,1100000.0,1037953.6,94.022240155479
14411,522000.0,627441.56,83.19499873743223
61552,630000.0,623061.3,98.88635558639342
187,307000.0,301680.1,98.2365736552679
30885,2125000.0,1654229.5,71.54140341470153
31993,410000.0,479374.62,85.52809819668698
27920,920000.0,755144.75,78.16905301930524
25318,1020000.0,1076020.5,94.79373301902704
48716,580000.0,547139.5,93.99412764020876
8816,975000.0,926211.6,94.73248081938077
32452,750000.0,825185.6,90.88864096487382
7182,717000.0,798175.2,89.82990341327792
26232,637000.0,611984.4,95.91237521382796
18739,910000.0,1186023.5,76.72697884991318
23658,675000.0,528764.1,72.34383573204781
62542,1245000.0,743261.2,32.49495319570954
