,valores reais,valores preditos,porcentagem de acerto %
227024,299,666.6399,44.85180129914885
235861,1650,997.2858,34.55094274125739
59304,10998,9302.802,81.77755168475056
40096,300,468.64478,64.01436989240814
192567,3750,5035.6646,74.46882059326633
369564,3990,3692.9592,91.95656509850585
352504,500,816.41895,61.24306679441588
37375,6900,8351.602,82.61888391541667
278846,13500,10476.868,71.14469907803772
122864,150,2144.186,6.995661642254343
187820,1000,1064.6666,93.92611504871327
229289,4500,3324.0515,64.62303663191048
228609,6000,8942.14,67.09803510000437
200290,12000,9869.355,78.41151290987133
363656,600,1858.7277,32.28014585172346
176863,3500,4531.174,77.24267778639383
19289,1650,1986.5297,83.05941918012128
29789,600,1994.1439,30.088099144302344
198995,5750,6717.611,85.595908085288
185458,1500,2089.7605,71.77856033750876
319943,18190,17568.186,96.46056531298642
86503,3750,4109.7207,91.24707664801963
344282,6900,5438.5234,73.12732804601431
139986,2600,2476.144,94.99803101588735
177261,23800,19828.656,79.97169500580756
296756,550,1449.4132,37.94639078499659
65893,8950,7448.6636,79.84421754557876
92559,3000,2660.5083,87.23959255759289
23976,5750,5506.3706,95.5754995079829
112018,1599,1857.3439,86.09068164731681
137414,1250,926.75024,65.12007869400409
129255,6200,5153.7446,79.69912274609945
183210,2900,2087.863,61.102000061506914
9099,200,-26.166533,-764.3351287528886
242954,14900,13102.529,86.28149830923329
340310,350,443.7776,78.8683362004893
228184,3900,5300.6543,73.5758225602308
287926,500,854.55896,58.50971359809455
187936,150,484.1748,30.980546395183495
209375,6199,6831.0327,90.74762570715917
121884,1199,931.65186,71.30385744825927
263762,2500,3318.7383,75.32983285016309
305435,1299,2869.7107,45.26588701104741
296196,2990,1993.3958,50.004696906251326
47487,8900,10324.619,86.201726947782
11806,7000,11849.811,59.07267438841899
309446,4100,4978.1533,82.3598578868725
160087,180,3616.2363,4.977550792243965
285139,1100,2144.7957,51.28693718659232
141409,4000,3474.1157,84.86278756017754
256560,500,876.4935,57.045486672789956
214597,17500,16275.222,92.47458286948496
73000,16666,15359.644,91.49487785532745
275023,2000,2232.0552,89.60351973825972
22078,650,1024.2217,63.46282380961915
188320,1860,1537.3352,79.0114222418085
194408,5999,5195.5073,84.53485625867978
358779,1300,4141.0454,31.393038985074746
201138,7777,7309.7007,93.60713472912674
210482,4500,5294.765,84.98960546508248
128901,13900,16600.78,83.7310089570108
43891,5100,5596.1606,91.13390990631918
296206,11000,12073.778,91.10652612773241
371059,3500,2337.4478,50.26403289010679
60506,9500,8852.116,92.68102933102045
34904,850,1575.2792,53.95868958309489
183551,650,1368.0436,47.513106302276974
356161,3800,2895.2197,68.74916728645852
17797,21900,18703.121,82.90724371496319
159522,1450,1881.7844,77.0545223798939
148499,3700,3034.802,78.08100832875525
252603,19900,17604.965,86.96370497402744
177996,3500,978.3561,157.74296033547387
22621,12250,11090.137,89.54148798464287
196123,89,2152.1106,4.135475201771516
358182,9390,10377.256,90.48634944773868
33832,5100,6449.3823,79.07734017951543
265918,2600,1811.3551,56.461055242262745
88192,1250,873.219,56.85148761220174
271040,1199,2680.3687,44.732652687591255
253407,3000,4349.03,68.9809025966976
197142,6900,7134.215,96.71702003822907
343915,750,902.3214,83.11894085040254
3822,1100,1751.6913,62.79645334395365
