,valores reais,valores preditos
518,74.0,74.46857620150611
871,72.66666666666667,71.52432818534687
797,78.33333333333333,77.50303595393194
274,83.0,78.07087178670814
325,88.66666666666667,85.77105235722021
827,70.0,70.35494082669885
766,70.0,72.86555820726412
832,60.666666666666664,58.48460166928917
931,60.333333333333336,59.599236359659955
368,55.333333333333336,59.51113171085146
562,92.66666666666667,89.51758031300267
381,94.0,91.53894425334015
507,56.0,56.389783685976596
506,68.0,66.90146131502698
3,49.333333333333336,50.45239195464764
842,34.333333333333336,36.16997037669995
136,48.666666666666664,49.388322368853125
938,83.66666666666667,81.06941628559161
854,60.333333333333336,59.25218801622356
190,66.66666666666667,63.98505004095253
923,61.333333333333336,63.069905397675235
394,72.0,73.08466552690565
122,91.33333333333333,88.61901917130588
315,67.33333333333333,64.97239286834636
320,76.66666666666667,77.3208491115079
109,68.66666666666667,65.17021918305319
307,49.0,48.96342794134499
488,58.0,54.92983804929775
424,38.0,38.17333516739485
744,52.333333333333336,51.65684105059245
321,80.0,76.56227549550863
997,65.0,66.09875390415625
668,69.33333333333333,66.7947137674253
311,61.0,58.89423063321553
620,50.0,55.92992337155343
792,69.66666666666667,69.86248975210636
79,66.0,66.33930567796077
228,68.0,65.26685473663915
657,65.33333333333333,63.15836941355308
101,72.0,72.31451390666597
598,73.0,72.57645295968328
918,71.33333333333333,74.85893039043772
168,76.33333333333333,75.76199462832973
495,66.0,63.71608919945941
734,56.0,57.10091984256879
596,23.0,22.47649704133921
207,79.0,75.90539035175533
78,69.0,70.92979187579422
50,52.0,51.70193010799832
966,66.0,64.55784520864204
161,82.66666666666667,80.29433627907925
822,50.666666666666664,52.3366604955112
937,57.333333333333336,57.10441485837325
572,57.0,59.04827251269901
244,72.66666666666667,70.64873392133315
102,88.33333333333333,85.90670410567682
607,50.666666666666664,55.13623618829667
387,67.33333333333333,69.86886255449984
324,43.333333333333336,45.00494971410081
397,89.66666666666667,86.56747279641111
592,66.66666666666667,64.56652368573154
504,51.0,55.762993705321016
438,59.0,53.61795399807068
655,65.33333333333333,65.68676109698009
858,49.0,49.69459512438662
476,68.0,64.4472795690196
526,59.0,58.48460166928917
421,59.666666666666664,60.446702704881126
514,89.33333333333333,89.25594314199415
365,55.666666666666664,57.35331376444999
652,89.66666666666667,85.89110091709232
172,82.0,78.67443891620474
664,68.66666666666667,63.764744398485306
847,56.0,52.44808871640826
673,77.66666666666667,78.60948839441872
71,60.333333333333336,58.450531558609754
829,58.333333333333336,54.47816521292885
23,71.66666666666667,71.14001812538301
517,71.0,72.00328643208434
393,55.666666666666664,54.52950612224802
771,74.0,71.72168831162764
743,68.0,69.47973683570838
408,55.0,55.89137618186307
879,71.33333333333333,72.00029842192353
351,58.333333333333336,55.243037168725124
224,63.666666666666664,67.61161161561246
739,58.666666666666664,57.30574309837297
193,67.0,63.71608919945941
547,67.66666666666667,64.50323762489073
732,90.0,86.99406880721186
995,94.0,91.53894425334015
907,84.66666666666667,82.74991230935528
258,74.33333333333333,73.72540752157659
519,74.66666666666667,74.64764669966918
235,77.33333333333333,75.27023220819753
403,95.66666666666667,91.63484548630471
886,96.0,92.98628326174885
542,79.0,75.68888085752035
29,69.0,71.09526495874852
116,80.66666666666667,78.28913635311757
919,92.66666666666667,89.95198855027483
759,74.33333333333333,73.99304789629181
704,62.0,62.24112002862045
431,67.66666666666667,66.86800028000508
694,56.0,59.158000326847976
868,74.66666666666667,72.4255404967557
450,78.0,78.66264898802153
959,75.66666666666667,73.94625759530427
823,80.0,78.992673110876
563,74.33333333333333,76.37686950655285
804,75.66666666666667,74.09138224859048
612,91.66666666666667,88.86120004788211
509,88.33333333333333,85.82256969473677
803,84.66666666666667,80.39478190866103
541,80.33333333333333,78.03909332350803
270,64.33333333333333,61.9477650329553
725,75.33333333333333,72.40565824819339
129,50.333333333333336,51.78515661727679
216,85.66666666666667,81.06941628559161
301,54.0,53.907440823236385
748,56.333333333333336,58.48460166928917
75,41.0,42.49480277531243
374,67.33333333333333,69.30294695642291
363,31.0,29.27113756391428
921,44.666666666666664,49.74248393904999
435,50.333333333333336,52.34277209758795
444,78.0,75.47892801413883
354,66.66666666666667,66.86800028000508
884,52.0,53.995134870787666
218,71.0,70.95296431791138
242,54.333333333333336,54.2958516867319
922,68.0,65.36312768822991
37,57.666666666666664,60.23875783813466
978,48.0,47.469254897972625
188,48.333333333333336,49.64419444890975
962,100.0,94.29141386757263
448,45.0,45.11817701324369
680,71.0,71.02789964637533
554,46.0,44.29507888061529
98,62.333333333333336,63.99040034372305
462,72.33333333333333,71.49729793206807
298,45.333333333333336,49.5067283876744
950,79.33333333333333,74.53229930591274
35,80.33333333333333,76.87199233343689
347,88.66666666666667,87.84726609517827
176,52.666666666666664,55.604285131917315
569,67.66666666666667,66.58714832589916
513,59.0,60.950472209139825
779,87.0,85.22254310207408
977,61.666666666666664,60.29928205559594
987,77.33333333333333,74.82033874941673
440,75.66666666666667,75.73447911170068
415,75.33333333333333,71.01768370174732
142,50.333333333333336,53.970440697678434
643,77.66666666666667,76.53094994873499
385,72.66666666666667,73.01210207451237
636,76.0,77.00321076843234
425,63.666666666666664,63.99040034372305
485,71.66666666666667,71.15281724996562
130,85.0,82.1160352190641
833,82.66666666666667,81.0027923173576
267,72.66666666666667,72.07355093588455
441,79.66666666666667,78.03909332350803
661,67.33333333333333,64.08046377970776
753,84.0,81.93379713705222
377,93.33333333333333,89.70928322001313
715,85.66666666666667,84.14815946160394
10,54.666666666666664,53.907440823236385
870,54.666666666666664,52.67572547709889
286,89.0,86.35724097092782
388,63.333333333333336,62.24112002862045
12,73.0,73.5910313846017
177,75.0,73.99304789629181
951,78.33333333333333,76.80952753596175
897,73.33333333333333,73.66533149151076
63,73.33333333333333,72.8443606585216
369,80.66666666666667,79.05647288515338
121,90.66666666666667,86.86818393842027
679,61.333333333333336,58.96076226230129
497,71.0,73.22346290046568
422,57.333333333333336,61.45540014889626
602,78.0,76.35552766262624
358,60.666666666666664,61.58041332022854
195,56.0,53.907440823236385
120,86.66666666666667,85.14092908858893
953,54.666666666666664,54.15687544884089
862,39.666666666666664,42.35096961377254
687,76.0,74.04734575660227
319,61.333333333333336,62.249762049765934
885,72.66666666666667,74.64633982995892
688,51.666666666666664,51.03195818550466
357,59.0,64.84522173442136
706,38.666666666666664,37.54223293932243
782,81.0,78.28913635311757
700,80.66666666666667,78.96400388533479
909,68.0,63.98505004095253
757,70.0,68.37981460695678
965,68.0,68.61290655065251
4,76.33333333333333,74.66778874394289
151,70.66666666666667,67.67067378699318
