,valores reais,valores preditos
518,74.0,74.02205
871,72.66666666666667,72.55428
797,78.33333333333333,78.446815
274,83.0,82.96288
325,88.66666666666667,88.57997
827,70.0,69.83449
766,70.0,70.1158
832,60.666666666666664,60.601955
931,60.333333333333336,60.43808
368,55.333333333333336,55.22523
562,92.66666666666667,92.63392
381,94.0,93.85782
507,56.0,56.019108
506,68.0,67.84663
3,49.333333333333336,49.21524
842,34.333333333333336,35.036274
136,48.666666666666664,48.77177
938,83.66666666666667,83.51012
854,60.333333333333336,60.35057
190,66.66666666666667,66.56528
923,61.333333333333336,61.285526
394,72.0,72.057915
122,91.33333333333333,91.69152
315,67.33333333333333,67.2723
320,76.66666666666667,76.49493
109,68.66666666666667,68.63878
307,49.0,48.762985
488,58.0,57.581276
424,38.0,38.046402
744,52.333333333333336,52.450394
321,80.0,79.94068
997,65.0,65.25493
668,69.33333333333333,69.4215
311,61.0,61.2588
620,50.0,49.67668
792,69.66666666666667,69.83205
79,66.0,66.095924
228,68.0,67.899086
657,65.33333333333333,65.42439
101,72.0,72.00168
598,73.0,72.88238
918,71.33333333333333,71.19515
168,76.33333333333333,76.28186
495,66.0,65.90587
734,56.0,56.01908
596,23.0,23.00701
207,79.0,78.986145
78,69.0,69.099495
50,52.0,51.91308
966,66.0,66.091675
161,82.66666666666667,82.66783
822,50.666666666666664,50.624264
937,57.333333333333336,57.26648
572,57.0,57.12352
244,72.66666666666667,72.83135
102,88.33333333333333,88.08139
607,50.666666666666664,50.733856
387,67.33333333333333,67.47482
324,43.333333333333336,43.39127
397,89.66666666666667,89.210236
592,66.66666666666667,66.86718
504,51.0,51.053143
438,59.0,58.928673
655,65.33333333333333,65.39229
858,49.0,49.077652
476,68.0,68.09904
526,59.0,58.96354
421,59.666666666666664,59.396988
514,89.33333333333333,89.804405
365,55.666666666666664,55.569336
652,89.66666666666667,89.297134
172,82.0,81.94868
664,68.66666666666667,68.129005
847,56.0,55.815784
673,77.66666666666667,77.81895
71,60.333333333333336,60.22341
829,58.333333333333336,58.249805
23,71.66666666666667,71.552605
517,71.0,71.1314
393,55.666666666666664,55.730103
771,74.0,73.97468
743,68.0,67.960785
408,55.0,55.188736
879,71.33333333333333,71.190796
351,58.333333333333336,58.772877
224,63.666666666666664,63.73659
739,58.666666666666664,58.802044
193,67.0,66.8438
547,67.66666666666667,67.578514
732,90.0,89.99299
995,94.0,94.00873
907,84.66666666666667,84.48111
258,74.33333333333333,74.43306
519,74.66666666666667,74.6469
235,77.33333333333333,77.25851
403,95.66666666666667,95.5853
886,96.0,95.964294
542,79.0,79.050316
29,69.0,68.9166
116,80.66666666666667,80.80195
919,92.66666666666667,93.00075
759,74.33333333333333,74.25979
704,62.0,62.041183
431,67.66666666666667,67.55697
694,56.0,55.9624
868,74.66666666666667,74.87087
450,78.0,77.87463
959,75.66666666666667,75.81747
823,80.0,80.355896
563,74.33333333333333,74.21382
804,75.66666666666667,75.64625
612,91.66666666666667,91.456604
509,88.33333333333333,88.44534
803,84.66666666666667,84.676254
541,80.33333333333333,80.242836
270,64.33333333333333,64.34209
725,75.33333333333333,75.72262
129,50.333333333333336,50.46049
216,85.66666666666667,85.524765
301,54.0,54.267357
748,56.333333333333336,56.404587
75,41.0,40.332863
374,67.33333333333333,67.304665
363,31.0,29.734013
921,44.666666666666664,44.31218
435,50.333333333333336,50.39584
444,78.0,77.967636
354,66.66666666666667,66.794815
884,52.0,52.21277
218,71.0,70.876076
242,54.333333333333336,54.25506
922,68.0,67.853424
37,57.666666666666664,57.74104
978,48.0,47.970917
188,48.333333333333336,48.280327
962,100.0,99.685776
448,45.0,45.08432
680,71.0,70.79778
554,46.0,45.843605
98,62.333333333333336,62.36211
462,72.33333333333333,72.19739
298,45.333333333333336,45.346878
950,79.33333333333333,79.28837
35,80.33333333333333,80.42874
347,88.66666666666667,88.6521
176,52.666666666666664,52.576466
569,67.66666666666667,67.82693
513,59.0,58.931538
779,87.0,87.03579
977,61.666666666666664,61.40138
987,77.33333333333333,77.37403
440,75.66666666666667,75.58877
415,75.33333333333333,75.30319
142,50.333333333333336,50.61153
643,77.66666666666667,77.55221
385,72.66666666666667,72.65058
636,76.0,75.84
425,63.666666666666664,63.703907
485,71.66666666666667,71.92953
130,85.0,85.049164
833,82.66666666666667,82.75373
267,72.66666666666667,72.52109
441,79.66666666666667,79.67568
661,67.33333333333333,67.03999
753,84.0,84.08169
377,93.33333333333333,92.90003
715,85.66666666666667,85.75343
10,54.666666666666664,54.878548
870,54.666666666666664,54.71995
286,89.0,88.616005
388,63.333333333333336,63.25846
12,73.0,73.08598
177,75.0,74.894135
951,78.33333333333333,78.17366
897,73.33333333333333,73.241196
63,73.33333333333333,73.5653
369,80.66666666666667,80.65499
121,90.66666666666667,90.65091
679,61.333333333333336,61.3374
497,71.0,70.97511
422,57.333333333333336,57.38484
602,78.0,77.92864
358,60.666666666666664,60.97828
195,56.0,56.066196
120,86.66666666666667,86.75822
953,54.666666666666664,54.45748
862,39.666666666666664,39.484264
687,76.0,76.18269
319,61.333333333333336,61.15129
885,72.66666666666667,72.44353
688,51.666666666666664,51.44962
357,59.0,59.23982
706,38.666666666666664,38.333115
782,81.0,80.97883
700,80.66666666666667,80.81009
909,68.0,68.002556
757,70.0,70.25487
965,68.0,67.9006
4,76.33333333333333,76.37859
151,70.66666666666667,70.79344
