,valores em euros,valores preditos
12094,0.07,0.24543369
14118,0.04,0.24543369
9516,0.13,0.24543369
13727,0.04,0.24543369
1920,1.07,0.43469596
14673,0.03,0.24543369
8560,0.16,0.24763715
7097,0.23,0.25691158
891,1.93,1.6246421
11238,0.09,0.31324264
9747,0.12,0.24543369
3825,0.52,0.43894356
6590,0.25,0.28899854
12911,0.05,0.24543369
10223,0.11,0.24543369
14989,0.03,0.24665582
1468,1.33,1.2969905
10764,0.1,0.24543369
4126,0.48,0.2795887
7317,0.21,0.24798498
12641,0.06,0.24543369
10502,0.1,0.24543369
13175,0.05,0.24543369
6186,0.28,0.24543369
7625,0.2,0.24763715
1001,1.76,1.4138765
10360,0.11,0.24600944
1805,1.13,0.91183376
12968,0.05,0.25300807
10589,0.1,0.24543369
3956,0.5,0.5013153
13293,0.05,0.2658547
2578,0.79,0.73679566
2101,0.98,0.58337754
9963,0.12,0.24763715
2551,0.81,0.8668518
621,2.49,2.0178952
16631,0.01,0.25096294
9123,0.14,0.24696094
211,4.93,4.20676
12440,0.06,0.24543369
7392,0.21,0.24543369
12419,0.06,0.24543369
9322,0.13,0.24543369
5420,0.34,0.29746068
12781,0.06,0.24543369
9230,0.14,0.24543369
11434,0.08,0.24543369
6985,0.23,0.25078577
11876,0.07,0.24543369
16362,0.01,0.24543369
14923,0.03,0.24543369
10340,0.11,0.24543369
14519,0.03,0.24763715
6518,0.26,0.26431987
5161,0.36,0.24543369
1239,1.52,1.2616656
14343,0.03,0.24543369
11623,0.08,0.24543369
16222,0.01,0.24543369
12651,0.06,0.2624605
15410,0.02,0.24543369
16163,0.01,0.26201722
12021,0.07,0.24763715
6252,0.27,0.26491368
352,3.62,2.988653
16557,0.01,0.24543369
10722,0.1,0.2462298
1800,1.14,0.89987206
5690,0.32,0.2872395
7013,0.23,0.24748099
5754,0.31,0.27975667
1021,1.74,1.3374085
12542,0.06,0.24600944
7339,0.21,0.24805677
3189,0.63,0.47398007
14874,0.03,0.24543369
8570,0.16,0.26341072
10934,0.09,0.24543369
1231,1.52,1.3502595
7106,0.23,0.2462298
15159,0.02,0.24543369
3807,0.53,0.43407333
16236,0.01,0.24543369
13949,0.04,0.24666831
5724,0.31,0.28899854
1014,1.75,1.4612219
7030,0.23,0.24654084
13489,0.05,0.24543369
9579,0.13,0.24666831
10459,0.1,0.2595586
9706,0.12,0.24763715
8211,0.17,0.24543369
1661,1.21,0.7945063
9654,0.12,0.24543369
4625,0.42,0.3390541
4253,0.46,0.37131643
2250,0.92,0.7103028
10626,0.1,0.24543369
12105,0.07,0.24543369
1758,1.15,0.9062848
439,3.13,2.003508
11427,0.08,0.24543369
7563,0.2,0.24543369
8283,0.17,0.24543369
14797,0.03,0.24543369
3664,0.55,0.43186665
2305,0.9,0.41716385
13329,0.05,0.24543369
16356,0.01,0.24543369
11633,0.08,0.24543369
10109,0.11,0.24543369
16652,0.01,0.24543369
16071,0.02,0.24543369
2770,0.74,0.4766132
4604,0.42,0.35405028
5089,0.37,0.3261571
4903,0.39,0.30162692
7011,0.23,0.24843326
1518,1.29,0.6953671
9949,0.12,0.24543369
5915,0.3,0.25651795
2301,0.9,0.7722925
9140,0.14,0.25028855
8416,0.17,0.25904417
15756,0.02,0.24543369
8005,0.18,0.24696094
8525,0.16,0.24654084
12715,0.06,0.24543369
11611,0.08,0.24543369
8917,0.15,0.24543369
8056,0.18,0.2532074
13320,0.05,0.24763715
15313,0.02,0.24543369
7090,0.23,0.26433793
12379,0.06,0.24543369
14000,0.04,0.24543369
16508,0.01,0.24543369
15565,0.02,0.24543369
10856,0.09,0.24543369
4218,0.46,0.4010576
13908,0.04,0.24763715
10652,0.1,0.2470156
826,2.05,1.7059271
3202,0.63,0.6719758
2140,0.96,0.7164881
9694,0.12,0.24543369
3151,0.64,0.39088643
11786,0.07,0.24543369
1843,1.11,0.5298271
4780,0.4,0.34499303
15308,0.02,0.24543369
10336,0.11,0.24543369
16346,0.01,0.24543369
14804,0.03,0.24543369
9114,0.14,0.24543369
9367,0.13,0.24995297
10166,0.11,0.24543369
6760,0.25,0.28899854
15498,0.02,0.24575695
1478,1.32,1.1327242
7119,0.23,0.25714982
5594,0.32,0.46658623
5757,0.31,0.35620266
2872,0.71,0.54217803
1167,1.58,1.1350515
4991,0.38,0.34499303
125,6.49,5.452587
9256,0.14,0.24543369
13203,0.05,0.24543369
12034,0.07,0.24543369
7749,0.19,0.3127079
7828,0.19,0.24543369
467,3.02,2.1649728
13576,0.04,0.24543369
7102,0.23,0.24543369
16605,0.01,0.24543369
15849,0.02,0.24543369
3207,0.63,0.518422
2426,0.85,0.79945433
14064,0.04,0.24543369
15671,0.02,0.24543369
2919,0.7,0.5732461
4210,0.46,0.35888693
1778,1.14,1.040529
15001,0.02,0.2584898
984,1.77,1.5474994
12553,0.06,0.28791165
7938,0.19,0.24543369
13452,0.05,0.24543369
9670,0.12,0.2470156
777,2.12,1.7343408
9785,0.12,0.24600944
7556,0.2,0.2532928
6164,0.28,0.24942386
4665,0.41,0.31894463
5380,0.34,0.36203402
217,4.85,3.146625
8762,0.15,0.24763715
16096,0.01,0.24543369
301,3.98,3.2205293
12505,0.06,0.24543369
15724,0.02,0.24543369
8723,0.15,0.24543369
6753,0.25,0.2501394
13811,0.04,0.24600944
7042,0.23,0.26420972
10042,0.11,0.24600944
12319,0.06,0.2614415
13893,0.04,0.24543369
3028,0.66,0.49954775
4205,0.47,0.45903358
11747,0.08,0.24543369
387,3.44,2.4841294
15619,0.02,0.24543369
6005,0.29,0.291202
11025,0.09,0.24995297
7248,0.22,0.25532973
4496,0.43,0.3623289
15825,0.02,0.24543369
13869,0.04,0.24600944
2690,0.76,0.67560637
15091,0.02,0.24543369
4767,0.4,0.31413275
4497,0.43,0.31610796
11818,0.07,0.24543369
13347,0.05,0.24543369
9051,0.14,0.24543369
8158,0.18,0.24748099
3755,0.53,0.4090403
3973,0.5,0.297576
8866,0.15,0.24600944
12744,0.06,0.24995297
5967,0.29,0.26712877
14352,0.03,0.24543369
14688,0.03,0.24575695
4193,0.47,0.45960972
12188,0.07,0.24543369
6109,0.28,0.3019902
11027,0.09,0.24543369
4757,0.4,0.32455605
13228,0.05,0.2470156
6464,0.26,0.3233239
8804,0.15,0.24543369
11125,0.09,0.24543369
8177,0.18,0.24666831
5974,0.29,0.25584173
4743,0.41,0.35197198
5477,0.33,0.39168078
9699,0.12,0.24543369
12074,0.07,0.24543369
3947,0.5,0.47004405
3663,0.55,0.4340167
992,1.76,1.5001404
12255,0.07,0.24763715
9311,0.13,0.24543369
2596,0.79,0.5010922
4690,0.41,0.37356117
2633,0.78,0.4415897
6959,0.23,0.26295364
10435,0.1,0.24543369
16454,0.01,0.24543369
219,4.82,3.8914974
2215,0.93,0.58952385
6635,0.25,0.26431987
10701,0.1,0.24543369
9644,0.13,0.24543369
13922,0.04,0.24543369
576,2.65,1.9779329
9383,0.13,0.24543369
8035,0.18,0.24543369
5244,0.36,0.30781925
8288,0.17,0.24763715
6171,0.28,0.31545424
6129,0.28,0.30637664
4208,0.46,0.3913221
7552,0.2,0.2501394
