,valores reais,valores preditos,porcentagem de acerto %
6056,1728,1448.778,80.72706413650582
5556,822,836.43915,98.27373599327332
5990,658,771.38617,85.30098491176607
7674,2716,1959.297,61.37885149310358
3319,1083,687.4244,42.45539792596148
5761,636,569.26654,88.27729108919044
5972,1537,1660.0303,92.58867290517927
8758,712,774.8243,91.89180289980379
6079,425,1085.5825,39.14948816452141
7177,594,571.26715,96.02062728687993
7061,24,-165.8255,-14.473045417822247
6627,211,340.39307,61.98716155639232
1127,242,279.11844,86.7015454475778
5632,960,778.9989,76.76490964041858
5503,1308,1162.2614,87.46076799830274
5198,933,1032.9941,90.3199702019123
6870,655,422.07654,44.814875763921805
1210,259,286.63043,90.36025870537013
3382,1183,1441.988,82.03951555461269
7238,0,-169.19914,-0.0
2227,630,1176.5796,53.54503897893249
6137,1358,1340.906,98.72519072433646
4617,1307,1061.5562,76.87886343889126
1777,146,111.87441,69.49652142109957
2067,103,56.651653,18.187124260759845
4640,2495,1835.5255,64.07162511534338
6234,2797,2451.7432,85.9179035961738
1807,292,256.36285,86.09894318170184
5673,995,916.49225,91.43388811085703
8612,349,379.4938,91.96461061146081
5324,908,1244.4976,72.96117165758176
360,217,241.15192,89.98477107126162
5285,301,143.20808,10.183665173726723
7258,1071,1072.3145,99.8774190610628
80,937,617.08014,48.15586492943146
3684,871,776.10754,87.77328518515549
2333,17,-27.278809,-62.31943723486136
1087,209,282.38544,74.01231529915145
758,298,303.6556,98.13749229034589
1437,182,182.70322,99.61510444862289
4890,3365,2597.5964,70.45716748177003
3803,956,1057.5857,90.39456622784935
2887,264,550.94543,47.917630936699936
1175,232,199.90457,83.94462506753328
5834,501,417.84924,80.10029736890307
3785,2392,2071.4768,84.52682683523854
3123,149,204.96297,72.69605931247256
2142,165,142.73679,84.4026093394786
8469,682,926.8111,73.58565330115043
2614,565,561.5273,99.38155858280535
6875,972,1156.6901,84.03288233310697
4949,338,411.3902,82.16044082853712
1057,150,142.52823,94.75769024476675
5976,842,1020.0564,82.54445566950548
5564,1888,2012.1445,93.83023787198438
7932,1076,933.67444,84.75640376792748
8158,1215,993.78723,77.7404295854187
5303,40,-16.41319,-243.70642116970836
4838,1158,1306.4109,88.63980008443188
4629,1647,1411.2466,83.29466863052217
2399,345,281.65082,77.50790052457792
921,387,301.97577,71.84402204637385
7448,589,1458.8873,40.373234330764134
748,62,0.23201278,26522.666051128464
1746,150,576.5147,26.018416795853565
7533,1445,1281.2733,87.2215644703874
7256,848,1471.461,57.62979553448923
8289,574,799.5499,71.79038866623114
7366,1393,1323.4048,94.74119969760173
3720,796,581.48706,63.10959365950799
7121,1591,1873.1947,84.93511102584382
3105,682,427.8246,40.58887123976993
594,237,277.473,85.41371840917003
1680,178,211.99916,83.96259652931711
831,281,314.42752,89.36876750736982
3045,447,422.11078,94.10362813722597
315,80,-19.128687,-418.2200294128762
6724,185,323.61456,57.16677219087302
5871,605,646.8493,93.5302853496879
5948,1524,1526.925,99.80843533673314
3977,1951,2072.8894,94.11983080022448
4956,1039,1138.5659,91.25514681254646
7736,2113,1415.614,50.73614844210127
2022,63,180.36038,34.93006572365136
6307,2162,1866.3735,84.16038058431855
6952,142,924.4328,15.360770404836105
511,283,223.62683,73.44989030820147
3662,376,192.91708,5.097613591189571
6242,698,621.4214,87.67686228412528
7938,1054,1357.3608,77.65068573227214
