,Amostra existente,Predição
574,1,1
989,0,0
744,1,1
305,1,0
689,0,0
616,1,1
223,1,1
970,1,1
532,0,0
162,0,0
837,1,1
95,0,0
870,1,1
557,0,0
86,0,0
331,0,0
75,0,0
554,1,1
590,1,1
777,0,0
352,0,0
899,1,1
821,0,0
922,1,1
885,1,1
852,1,1
504,1,1
828,1,1
795,0,0
978,0,0
577,0,0
987,1,1
87,1,1
676,1,1
396,1,1
599,1,1
741,0,0
847,0,0
871,0,0
580,1,1
346,0,0
851,1,1
112,0,0
829,1,1
534,0,0
220,0,0
825,0,0
726,0,0
375,0,0
363,1,1
647,1,1
164,1,1
565,0,0
328,0,0
668,1,1
270,1,1
643,0,0
321,0,0
903,0,0
896,0,0
178,1,1
88,1,1
64,1,1
31,0,0
953,1,1
406,1,1
812,0,0
456,1,1
214,0,0
866,0,0
790,1,1
646,1,1
425,1,1
312,1,0
823,0,0
368,0,0
650,0,0
798,0,0
233,1,0
377,1,1
105,0,0
277,0,0
25,0,0
630,0,0
883,1,1
890,0,0
403,0,0
547,0,0
678,0,0
887,1,1
316,0,0
758,1,1
533,0,0
830,1,1
398,0,0
556,1,1
338,0,0
527,0,0
947,1,1
92,0,0
601,1,1
422,1,1
822,1,0
72,1,1
709,1,1
759,1,1
695,0,0
225,1,0
950,1,1
865,1,1
108,1,1
682,1,1
126,1,1
641,0,0
997,1,1
345,0,0
62,0,0
946,0,0
281,1,1
373,1,1
993,0,0
102,0,0
116,1,1
266,1,1
710,1,1
227,1,1
631,0,0
378,1,1
245,0,1
844,0,0
612,0,0
787,1,0
974,1,1
335,1,1
11,0,0
827,1,1
339,0,0
927,0,0
476,0,0
653,0,0
571,0,0
127,0,0
291,0,0
199,0,0
118,1,1
272,0,0
586,0,0
315,1,1
594,1,1
725,0,0
552,1,1
219,1,1
834,0,0
501,0,0
265,1,1
332,1,1
845,1,1
522,0,0
255,0,0
702,1,0
965,1,1
231,1,1
587,1,1
592,0,0
848,0,0
618,1,1
300,0,0
320,1,1
224,0,0
301,1,1
17,0,0
924,1,1
951,1,1
216,1,1
942,1,1
367,0,0
369,0,0
399,0,0
91,1,1
602,1,1
242,0,0
536,0,0
120,0,0
856,0,0
735,0,0
510,1,1
969,1,1
431,0,0
555,0,0
752,0,0
902,1,1
232,1,1
35,0,0
426,1,1
984,0,0
191,1,1
370,1,1
295,0,0
29,0,0
474,1,1
