,Amostra existente,Predição
38,setosa,setosa
127,virginica,virginica
57,versicolor,versicolor
93,versicolor,versicolor
42,setosa,setosa
56,versicolor,versicolor
22,setosa,setosa
20,setosa,setosa
147,virginica,virginica
84,versicolor,versicolor
107,virginica,virginica
141,virginica,virginica
104,virginica,virginica
51,versicolor,versicolor
7,setosa,setosa
49,setosa,setosa
14,setosa,setosa
69,versicolor,versicolor
63,versicolor,versicolor
138,virginica,versicolor
10,setosa,setosa
140,virginica,virginica
58,versicolor,versicolor
134,virginica,virginica
132,virginica,virginica
77,versicolor,versicolor
75,versicolor,versicolor
18,setosa,setosa
116,virginica,virginica
28,setosa,setosa
