,Amostra existente,Predição
73,versicolor,versicolor
18,setosa,setosa
118,virginica,virginica
78,versicolor,versicolor
76,versicolor,virginica
31,setosa,setosa
64,versicolor,versicolor
141,virginica,virginica
68,versicolor,virginica
82,versicolor,versicolor
110,virginica,virginica
12,setosa,setosa
36,setosa,setosa
9,setosa,setosa
19,setosa,setosa
56,versicolor,versicolor
104,virginica,virginica
69,versicolor,versicolor
55,versicolor,versicolor
132,virginica,virginica
29,setosa,setosa
127,virginica,versicolor
26,setosa,setosa
128,virginica,virginica
131,virginica,virginica
145,virginica,virginica
108,virginica,virginica
143,virginica,virginica
45,setosa,setosa
30,setosa,setosa
