,Amostra existente,Predição
93,versicolor,versicolor
83,versicolor,virginica
117,virginica,virginica
65,versicolor,versicolor
9,setosa,setosa
34,setosa,setosa
148,virginica,virginica
114,virginica,virginica
127,virginica,versicolor
15,setosa,setosa
95,versicolor,versicolor
143,virginica,virginica
138,virginica,versicolor
131,virginica,virginica
79,versicolor,versicolor
141,virginica,virginica
48,setosa,setosa
32,setosa,setosa
11,setosa,setosa
144,virginica,virginica
149,virginica,versicolor
53,versicolor,versicolor
7,setosa,setosa
21,setosa,setosa
44,setosa,setosa
56,versicolor,versicolor
31,setosa,setosa
123,virginica,virginica
147,virginica,virginica
112,virginica,virginica
35,setosa,setosa
26,setosa,setosa
64,versicolor,versicolor
20,setosa,setosa
74,versicolor,versicolor
68,versicolor,virginica
132,virginica,virginica
80,versicolor,versicolor
109,virginica,virginica
28,setosa,setosa
57,versicolor,versicolor
91,versicolor,versicolor
61,versicolor,versicolor
22,setosa,setosa
76,versicolor,virginica
