,Amostra existente,Predição
789,1,1
871,0,0
670,0,0
221,0,0
310,0,0
697,0,0
808,1,1
34,1,1
956,1,1
895,0,0
515,1,1
101,0,0
517,1,1
313,0,0
543,1,1
875,1,1
662,1,1
680,0,0
868,0,0
126,1,1
485,1,1
305,1,0
960,1,1
176,1,1
37,0,0
329,1,1
988,0,0
791,1,1
676,1,1
607,0,0
494,1,1
502,0,0
73,1,1
358,1,1
372,0,0
339,0,0
902,1,1
379,0,0
357,1,1
910,1,1
192,1,1
482,0,0
27,1,1
809,1,1
720,0,0
526,1,1
512,0,0
846,1,1
40,0,0
315,1,1
582,1,1
88,1,1
692,1,0
571,0,0
288,1,1
702,1,0
537,0,0
693,1,1
258,0,0
150,0,1
649,0,0
890,0,0
14,1,1
435,1,1
109,0,0
672,0,0
374,0,0
70,1,1
375,0,0
811,0,0
469,0,0
544,0,0
913,0,0
619,0,0
703,0,0
120,0,0
186,1,1
998,0,1
421,0,0
348,0,0
280,1,1
204,0,0
781,1,1
87,1,1
177,0,0
181,1,0
857,0,0
210,0,0
665,1,1
610,1,1
990,1,1
574,1,1
103,0,0
894,0,0
327,0,0
739,0,0
185,1,1
507,1,1
276,0,0
955,1,1
